iter	Logloss
0	0.6449702454
1	0.6037314545
2	0.5683057159
3	0.5349142303
4	0.5076954559
5	0.4847611572
6	0.4647294434
7	0.4452920441
8	0.4319430298
9	0.4196383118
10	0.4089715683
11	0.3975306793
12	0.3879548172
13	0.3806626053
14	0.3741133865
15	0.3685088898
16	0.362994252
17	0.3572138077
18	0.3518651779
19	0.3487513031
20	0.3449792145
21	0.34180457
22	0.3385895294
23	0.3360275757
24	0.333071524
25	0.331420546
26	0.3301244583
27	0.3281089722
28	0.3254261246
29	0.3233619431
30	0.3218657288
31	0.3203594727
32	0.3190311996
33	0.3177492554
34	0.3167278992
35	0.3161417603
36	0.3154820801
37	0.3148689392
38	0.3138371521
39	0.3133908478
40	0.3123335739
41	0.3117918564
42	0.3112076111
43	0.3104584366
44	0.3099063293
45	0.3096246964
46	0.3093649231
47	0.3091576126
48	0.3086653122
49	0.308362532
50	0.3078195602
51	0.3074156479
52	0.3069851898
53	0.3066564514
54	0.3062013916
55	0.3060733994
56	0.3059276184
57	0.3057702545
58	0.3055590881
59	0.3053914444
60	0.3051401031
61	0.3048657898
62	0.3046817947
63	0.3045285568
64	0.3043208694
65	0.3041460388
66	0.304007634
67	0.303796228
68	0.3036815338
69	0.3035795349
70	0.3033726166
71	0.3032356995
72	0.3030894577
73	0.3030152054
74	0.3028659866
75	0.3028046097
76	0.3027145157
77	0.3025666122
78	0.302501799
79	0.3024398849
80	0.3023197144
81	0.302076329
82	0.3019938919
83	0.3019192154
84	0.3016267319
85	0.3015632401
86	0.3015004593
87	0.3014361771
88	0.3013783905
89	0.3012964935
90	0.3011244949
91	0.3009764099
92	0.3009227295
93	0.3008375183
94	0.3007922592
95	0.3007477905
96	0.3006642181
97	0.3004607391
98	0.3004102966
99	0.3002348511
100	0.3001564194
101	0.2999619919
102	0.2997578293
103	0.2997212601
104	0.2996512619
105	0.2996001251
106	0.2994753433
107	0.29932939
108	0.2992846786
109	0.2991707245
110	0.2991233704
111	0.2990164749
112	0.2989673691
113	0.2988833466
114	0.2987157974
115	0.2986803818
116	0.2986412354
117	0.2986139069
118	0.2985855469
119	0.2985376236
120	0.2984836975
121	0.2984470825
122	0.298296994
123	0.2982398865
124	0.2981977966
125	0.2981385483
126	0.2981051361
127	0.2979745819
128	0.2979496796
129	0.2979143204
130	0.2978442383
131	0.2976157364
132	0.2975282501
133	0.2974949829
134	0.2974623901
135	0.2974363144
136	0.2973018311
137	0.2972743225
138	0.2972250046
139	0.2971791977
140	0.2970193756
141	0.2969283264
142	0.2968758408
143	0.2968000076
144	0.2966827927
145	0.2966060486
146	0.2965686844
147	0.2964672607
148	0.2964157349
149	0.2963770401
150	0.2963488266
151	0.2963136063
152	0.2962372757
153	0.2962021713
154	0.296164238
155	0.2961158646
156	0.2960495865
157	0.2960053772
158	0.2958994522
159	0.2958626083
160	0.2957830612
161	0.2957569366
162	0.2957174225
163	0.2956909943
164	0.2956539261
165	0.2956274719
166	0.2955924194
167	0.2954525269
168	0.2954148849
169	0.2953884216
170	0.2953519684
171	0.2953175125
172	0.2952785156
173	0.295178569
174	0.2951216949
175	0.2950564987
176	0.2949781647
177	0.2949475891
178	0.2949058395
179	0.2948618454
180	0.2948353363
181	0.2947981247
182	0.2947368652
183	0.2946606506
184	0.2946137955
185	0.2945662888
186	0.2944745453
187	0.2944451187
188	0.2943685349
189	0.2943465591
190	0.2943078629
191	0.2942795303
192	0.2942399994
193	0.2942032181
194	0.2941555038
195	0.2941017288
196	0.2940358185
197	0.2939895798
198	0.2939440033
199	0.2939100647
200	0.293827124
201	0.2937745819
202	0.2937156311
203	0.2936852112
204	0.2936543365
205	0.2936183304
206	0.2935791748
207	0.2935411362
208	0.293482756
209	0.2934131516
210	0.2933356979
211	0.2932956711
212	0.2932209473
213	0.2931805466
214	0.2931361801
215	0.2930357803
216	0.2929572586
217	0.2929183365
218	0.2928635208
219	0.2928132217
220	0.2927740753
221	0.2927286087
222	0.2926906998
223	0.292633371
224	0.2925506989
225	0.292517836
226	0.2924524368
227	0.2924146317
228	0.2923825867
229	0.2923415375
230	0.2922417648
