iter	Passed	Remaining
0	13	13519
1	25	12576
2	36	12241
3	49	12209
4	62	12395
5	75	12444
6	87	12476
7	100	12415
8	113	12472
9	125	12469
10	139	12517
11	152	12569
12	165	12585
13	178	12569
14	192	12612
15	204	12602
16	218	12623
17	231	12643
18	244	12635
19	257	12634
20	270	12592
21	282	12578
22	296	12589
23	310	12616
24	322	12589
25	336	12608
26	349	12597
27	363	12615
28	376	12618
29	390	12621
30	404	12634
31	417	12639
32	431	12648
33	445	12663
34	460	12692
35	474	12708
36	489	12736
37	504	12768
38	520	12823
39	533	12802
40	547	12814
41	562	12827
42	576	12821
43	591	12843
44	604	12838
45	618	12835
46	632	12822
47	645	12808
48	659	12800
49	672	12784
50	685	12757
51	699	12745
52	713	12741
53	726	12732
54	740	12722
55	754	12716
56	768	12713
57	781	12698
58	795	12687
59	809	12675
60	822	12660
61	836	12651
62	849	12640
63	863	12627
64	877	12623
65	891	12614
66	904	12602
67	918	12583
68	931	12573
69	945	12560
70	958	12546
71	972	12530
72	986	12530
73	1001	12529
74	1015	12519
75	1029	12520
76	1043	12514
77	1058	12511
78	1073	12518
79	1088	12518
80	1103	12525
81	1118	12527
82	1133	12527
83	1147	12516
84	1161	12504
85	1175	12496
86	1189	12486
87	1203	12474
88	1217	12458
89	1231	12446
90	1244	12429
91	1257	12409
92	1270	12389
93	1283	12369
94	1296	12349
95	1309	12329
96	1322	12310
97	1334	12283
98	1347	12266
99	1360	12241
100	1373	12223
101	1386	12210
102	1400	12199
103	1414	12183
104	1427	12168
105	1440	12150
106	1453	12133
107	1467	12117
108	1479	12097
109	1492	12079
110	1505	12060
111	1519	12047
112	1533	12034
113	1546	12019
114	1560	12006
115	1573	11992
116	1586	11975
117	1600	11963
118	1613	11948
119	1626	11930
120	1639	11913
121	1652	11894
122	1666	11879
123	1679	11862
124	1692	11848
125	1705	11831
126	1718	11814
127	1731	11797
128	1744	11780
129	1758	11765
130	1771	11751
131	1784	11731
132	1797	11720
133	1811	11705
134	1824	11691
135	1838	11679
136	1851	11660
137	1863	11642
138	1877	11628
139	1889	11609
140	1902	11591
141	1916	11578
142	1929	11560
143	1942	11545
144	1954	11523
145	1966	11502
146	1980	11492
147	1993	11474
148	2006	11457
149	2019	11443
150	2032	11428
151	2045	11413
152	2059	11399
153	2072	11383
154	2086	11373
155	2099	11361
156	2112	11345
157	2125	11329
158	2138	11313
159	2152	11298
160	2163	11276
161	2177	11263
162	2189	11244
163	2202	11228
164	2216	11216
165	2229	11202
166	2242	11187
167	2257	11178
168	2270	11164
169	2283	11149
170	2297	11136
171	2310	11124
172	2324	11111
173	2336	11091
174	2350	11078
175	2362	11060
176	2375	11047
177	2390	11039
178	2404	11026
179	2416	11008
180	2429	10994
181	2442	10979
182	2455	10962
183	2468	10948
184	2481	10932
185	2493	10911
186	2505	10894
187	2519	10880
188	2532	10867
189	2545	10853
190	2559	10839
191	2572	10825
192	2586	10813
193	2600	10803
194	2613	10789
195	2626	10773
196	2639	10759
197	2652	10744
198	2665	10728
199	2678	10714
200	2690	10696
201	2704	10682
202	2717	10668
203	2730	10654
204	2743	10640
205	2757	10628
206	2770	10614
207	2784	10601
208	2797	10586
209	2811	10574
210	2824	10560
211	2836	10541
212	2847	10522
213	2860	10507
214	2874	10495
215	2887	10480
216	2899	10461
217	2912	10447
218	2925	10434
219	2938	10419
220	2952	10406
221	2965	10391
222	2978	10377
223	2992	10365
224	3005	10353
225	3018	10339
226	3032	10326
227	3045	10312
228	3058	10298
229	3071	10283
230	3085	10271
231	3097	10253
232	3110	10239
233	3122	10222
234	3136	10208
235	3149	10195
236	3162	10181
237	3176	10168
238	3189	10156
239	3202	10141
240	3216	10128
241	3229	10114
242	3242	10101
243	3255	10086
244	3268	10071
245	3281	10058
246	3295	10046
247	3308	10033
248	3321	10018
249	3335	10006
250	3348	9991
251	3362	9980
252	3376	9968
253	3389	9954
254	3402	9941
255	3415	9927
256	3428	9911
257	3441	9897
258	3454	9882
259	3468	9870
260	3481	9857
261	3494	9843
262	3508	9831
263	3522	9820
264	3535	9805
265	3548	9792
266	3562	9779
267	3575	9766
268	3589	9755
269	3602	9741
270	3616	9727
271	3629	9714
272	3642	9700
273	3655	9684
274	3668	9671
275	3682	9659
276	3695	9646
277	3708	9632
278	3721	9617
279	3734	9602
280	3748	9590
281	3761	9577
282	3775	9565
283	3788	9551
284	3801	9536
285	3814	9523
286	3826	9507
287	3840	9494
288	3853	9480
289	3866	9465
290	3879	9452
291	3893	9439
292	3906	9425
293	3919	9412
294	3932	9397
295	3945	9383
296	3958	9370
297	3972	9357
298	3986	9345
299	3999	9332
300	4012	9317
301	4025	9304
302	4038	9290
303	4052	9278
304	4065	9264
305	4079	9251
306	4092	9237
307	4103	9220
308	4117	9207
309	4131	9195
310	4144	9181
311	4157	9168
312	4171	9155
313	4184	9142
314	4198	9129
315	4213	9119
316	4226	9105
317	4239	9092
318	4253	9080
319	4267	9068
320	4282	9058
321	4298	9050
322	4314	9042
323	4330	9034
324	4343	9021
325	4359	9013
326	4374	9003
327	4388	8990
328	4401	8977
329	4416	8966
330	4430	8954
331	4448	8950
332	4466	8945
333	4481	8935
334	4492	8918
335	4505	8904
336	4520	8893
337	4533	8878
338	4546	8865
339	4560	8852
340	4573	8837
341	4586	8823
342	4600	8811
343	4612	8795
344	4625	8782
345	4639	8768
346	4652	8755
347	4666	8742
348	4679	8729
349	4692	8715
350	4706	8702
351	4719	8687
352	4732	8673
353	4745	8660
354	4759	8647
355	4772	8633
356	4785	8619
357	4798	8605
358	4811	8591
359	4825	8578
360	4838	8564
361	4852	8552
362	4865	8537
363	4878	8523
364	4892	8511
365	4905	8497
366	4918	8483
367	4932	8470
368	4944	8455
369	4958	8442
370	4969	8425
371	4982	8411
372	4995	8396
373	5008	8382
374	5021	8369
375	5034	8355
376	5047	8341
377	5060	8327
378	5074	8314
379	5087	8301
380	5100	8286
381	5113	8272
382	5127	8259
383	5140	8245
384	5153	8232
385	5166	8218
386	5179	8204
387	5193	8191
388	5205	8177
389	5219	8163
390	5233	8151
391	5247	8138
392	5258	8121
393	5270	8106
394	5283	8092
395	5296	8078
396	5309	8064
397	5323	8051
398	5336	8038
399	5350	8025
